SlotNo   Position_x   Position_y   Position_z    X_x    X_y    X_z    Y_x    Y_y    Y_z    Z_x    Z_y    Z_z
    40 -21.65610831  41.08077093  71.69685502   0.10185465  -0.76077141   0.64097776   0.04826011  -0.63979121  -0.76703205   0.99362799   0.10905944  -0.02845080
    41 -98.04902650 -23.64791236  48.22072788  -0.58539809  -0.03281753  -0.81008153  -0.80457438  -0.09950480   0.58545611  -0.09982023   0.99449574   0.03184578
    42  63.01884150  51.58694379 -49.18128520  -0.44714088  -0.57994552  -0.68097594  -0.41373905  -0.54088200   0.73230230  -0.79302307   0.60918863   0.00190435
    43 -13.14556839  65.96689726 -50.19612769   0.01085169  -0.60179644  -0.79857578   0.01768983  -0.79838159   0.60189194  -0.99978463  -0.02065822   0.00198189
    44 -75.33666318  45.60882784  48.38756011   0.37004023  -0.35734273   0.85754090   0.61578380  -0.59681429  -0.51441522   0.69561520   0.71841412  -0.00079943
    45 -75.53299463  46.95094543 -50.29110843   0.42895924  -0.41445656  -0.80263300  -0.57629182   0.55866633  -0.59647270   0.69561605   0.71841330   0.00079716
    46  64.88498080  -1.03703091  65.68673215  -0.83437571  -0.33648430   0.43657243   0.42533762   0.11070143   0.89823889  -0.35057248   0.93515939   0.05075284
    47 -88.18502882 -61.74021784 -50.05049854  -0.56434557  -0.37660898   0.73462899   0.61053013   0.40857230   0.67847007  -0.55566697   0.83140471  -0.00064484
    48  44.45639190 -88.27747990  79.50177143  -0.13832814   0.97958239   0.14588920  -0.35739720   0.08800462  -0.92979698  -0.92365168  -0.18075748   0.33792648
    49  41.10377474  28.60122526 -70.85975820   0.56873011   0.65600516   0.49618877   0.34001936   0.36178569  -0.86804260  -0.74895442   0.66239575  -0.01729604
    50 -111.15139029 -32.96489311  18.34562785  -0.25144438  -0.03702186  -0.96716343  -0.96038623  -0.11450878   0.25405910  -0.12015445   0.99273218  -0.00676269
    51  24.82045123  64.88486313 -49.72750182  -0.12480479  -0.64220080  -0.75630807  -0.14130648  -0.74299222   0.65421329  -0.98206732   0.18852018   0.00198186
    52  24.91868880  65.32479414  48.77198697  -0.12808791  -0.65943066   0.74077304   0.13834478   0.72774262   0.67175248  -0.98206629   0.18852546  -0.00198624
    53  33.19440276  -6.63972223  77.70718333   0.94308201   0.18670549  -0.27520425  -0.28946036   0.05343413  -0.95569739  -0.16372865   0.98096173   0.10443661
    54  71.01352088 -36.45652059 -72.03719429  -0.87485575  -0.11385222  -0.47081323  -0.46119512  -0.10134113   0.88149251  -0.14807262   0.98831555   0.03615078
    55  63.34383949  52.36724473  48.31124449  -0.45050274  -0.58434470   0.67497300   0.41007251   0.53612714   0.73784025  -0.79302438   0.60918692  -0.00190304
    56 -112.44305727 -33.06247538 -19.89890544   0.25260482   0.02795044  -0.96716574  -0.96388464  -0.07988007  -0.25405823  -0.08435831   0.99641253   0.00676291
    57 -60.63889269  70.85928053  18.42579050  -0.11424619   0.22742244  -0.96707127  -0.44531165   0.85844913   0.25448502   0.88805710   0.45972205   0.00319932
